Arenas,Artist,Aspects,BackArt,BackText,Cost,DoubleSided,EpicAction,FoilPrice,FrontArt,FrontText,HP,Keywords,LowFoilPrice,LowPrice,MarketPrice,Name,Number,Power,Rarity,Set,Subtitle,Traits,Type,Unique,VariantType
"[""Ground""]",Ario Murti,"[""Vigilance"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/001-b.png,"Restore 2 (When this unit attacks, heal 2 damage from your base.) Each friendly damaged unit gets +1/+0.",5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/001.png,Each friendly damaged unit gets +1/+0.,7,"[""Restore""]",,0.01,0.05,Director Krennic,001,2,Common,SOR,Aspiring to Authority,"[""IMPERIAL"", ""OFFICIAL""]",Leader,True,Normal
"[""Ground""]",Amélie Hutt,"[""Vigilance"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/002-b.png,"SHIELDED (When you deploy this leader, give her a Shield token.)
When an enemy unit is defeated: Heal 1 damage from your base.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/002.png,"Action [{Exhaust}]: If an enemy unit was defeated this phase, heal 1 damage from your base.",4,"[""Shielded""]",,0.01,0.13,Iden Versio,002,4,Rare,SOR,Infero Squad Commander,"[""IMPERIAL"", ""TROOPER""]",Leader,True,Normal
"[""Ground""]",Eslam Aboshady,"[""Vigilance"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/003-b.png,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.)
GRIT (This unit gets +1/+0 for each damage on it.)",7,True,"Epic Action: If you control 7 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/003.png,Action [{Exhaust}]: Play a unit that costs 3 or less from your hand (paying its cost). It gains Sentinel for this phase.,9,"[""Grit"", ""Sentinel""]",,0.01,0.05,Chewbacca,003,2,Common,SOR,Walking Carpet,"[""UNDERWORLD"", ""WOOKIEE""]",Leader,True,Normal
"[""Ground""]",Sandra Chlewińska,"[""Vigilance"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/004-b.png,"During the action phase, this unit isn't defeated by having no remaining HP. (During the regroup phase, if he has no remaining HP, defeat him.)",5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/004.png,Action [{{Exhaust}}]: Give a unit +0/+2 for this phase.,5,,,0.04,0.11,Chirrut Îmwe,004,3,Rare,SOR,One With the Force,"[""FORCE"", ""REBEL""]",Leader,True,Normal
"[""Ground""]",Borja Pindado,"[""Vigilance"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/005-b.png,On Attack: You may give another unit a Shield token.,6,True,"Epic Action: If you control 6 or more resources, deploy this leader. (Flip him, ready him, and move him to the ground arena.)",,https://cdn.swu-db.com/images/cards/SOR/005.png,"Action [{C=1}, {Exhaust}]: Give a Shield token to a Heroism unit you played this phase.",7,,,2.80,2.80,Luke Skywalker,005,4,Special,SOR,Faithful Friend,"[""FORCE"", ""REBEL""]",Leader,True,Normal
"[""Ground""]",Borja Pindado,"[""Command"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/006-b.png,"When Deployed: Take control of a damaged non-leader unit.
On Attack: You may defeat another friendly unit. If you do, deal 1 damage to a unit and draw a card.",8,True,"Epic Action: If you control 8 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/006.png,"Action [{C=1}, {Exhaust}, defeat a friendly unit]: Deal 1 damage to a unit and draw a card.",10,,,0.07,0.16,Emperor Palpatine,006,4,Rare,SOR,Galactic Ruler,"[""FORCE"", ""IMPERIAL"", ""SITH"", ""OFFICIAL""]",Leader,True,Normal
"[""Ground""]",Tomas Oleksak,"[""Command"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/007-b.png,On Attack: You may give an Experience token to another IMPERIAL unit.,5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/007.png,"Action [{C=1}, {{Exhaust}}]: Give an Experience token to an IMPERIAL unit.",7,,,0.01,0.04,Grand Moff Tarkin,007,2,Common,SOR,Oversector Governor,"[""IMPERIAL"", ""OFFICIAL""]",Leader,True,Normal
"[""Ground""]",Sandra Chlewińska,"[""Command"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/008-b.png,"Ignore the aspect penalty on SPECTRE cards you play.
On Attack: You may give an Experience token to another unique unit.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/008.png,Ignore the aspect penalty on SPECTRE cards you play.,6,,,0.04,0.13,Hera Syndulla,008,4,Rare,SOR,Spectre Two,"[""REBEL"", ""TWI'LEK"", ""SPECTRE""]",Leader,True,Normal
"[""Ground""]",Sandra Chlewińska,"[""Command"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/009-b.png,"Raid 1 (This unit gets +1/+0 while attacking.)
When this unit completes an attack: You may attack with another REBEL unit.",5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/009.png,"Action [{Exhaust}]: Attack with a REBEL unit. Then, you may attack with another REBEL unit.",6,"[""Raid""]",,0.01,0.05,Leia Organa,009,3,Common,SOR,Alliance General,"[""REBEL"", ""OFFICIAL""]",Leader,True,Normal
"[""Ground""]",Borja Pindado,"[""Aggression"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/010-b.png,On Attack: You may deal 2 damage to a unit.,7,True,"Epic Action: If you control 7 or more resources, deploy this leader. (Flip him, ready him, and move him to the ground arena.)",,https://cdn.swu-db.com/images/cards/SOR/010.png,"Action [{C=1}, {Exhaust}]: If you played a Villainy card this phase, deal 1 damage to a unit and 1 damage to a base.",8,,,4.05,4.84,Darth Vader,010,5,Special,SOR,Dark Lord of the Sith,"[""FORCE"", ""IMPERIAL"", ""SITH""]",Leader,True,Normal
